LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNCIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
NYC,BLISS DELI & GROCERY CORP,4622 QUEENS BOULEVARD,SUNNYSIDE,NY,11104,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"4622 QUEENS BOULEVARD
SUNNYSIDE, NY 11104
(40.742926268000076, -73.91821291099996)"
NYC,2355 DELI & GROCERY CORP,2355 GRAND CONCOURSE,BRONX,NY,10468,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"2355 GRAND CONCOURSE
BRONX, NY 10468
(40.85901719700007, -73.89924838099995)"
NYC,4G DELI CORP,11316 SUTPHIN BOULEVARD,JAMAICA,NY,11435,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"11316 SUTPHIN BOULEVARD
JAMAICA, NY 11435
(40.68646109600007, -73.79406595499995)"
NYC,124 STOP 1 FOOD MART INC,124 UNION STREET,BROOKLYN,NY,11231,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"124 UNION STREET
BROOKLYN, NY 11231
(40.68419413200007, -74.00244823299994)"
NYC,KAID ABDULLA NAGI,2185 PACIFIC STREET,BROOKLYN,NY,11233,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2185 PACIFIC STREET
BROOKLYN, NY 11233
(40.675747510000065, -73.91400869999995)"
NYC,"CAMPOS BAGELS & DELI, INC",3962 RICHMOND  AVENUE,STATEN ISLAND,NY,10312,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"3962 RICHMOND AVENUE
STATEN ISLAND, NY 10312
(40.54162456100005, -74.16267723099998)"
NYC,1224 MANHATTAN DELI CORP/DELI NASSAU,183 NASSAU AVENUE,BROOKLYN,NY,11222,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"183 NASSAU AVENUE
BROOKLYN, NY 11222
(40.725407405000055, -73.94587905399999)"
NYC,SAI NEWS INC,11327A QUEENS BOULEVARD,FOREST HILLS,NY,11375,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"11327A QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.71769739000007, -73.83531097299993)"
NYC,MARINA GOURMET DELI INC,246 EAST 23RD STREET,NEW YORK,NY,10010,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"246 EAST 23RD STREET
NEW YORK, NY 10010
(40.73805461100005, -73.98136139699994)"
NYC,QUICK DELI & CANDY CORP,8202 ROOSEVELT  AVENUE,JACKSON HEIGHTS,NY,11372,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"8202 ROOSEVELT AVENUE
JACKSON HEIGHTS, NY 11372
(40.74763296700007, -73.88371764399994)"
NYC,589 BAKERY INC,589 1ST  AVENUE,NEW YORK,NY,10016,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"589 1ST AVENUE
NEW YORK, NY 10016
(40.74355942700004, -73.97370617099995)"
NYC,YAN LIN,155 YORK STREET,BROOKLYN,NY,11201,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"155 YORK STREET
BROOKLYN, NY 11201
(40.70146850800006, -73.98456894599997)"
NYC,NY MC DELI INC,6302 BROADWAY,WOODSDE,NY,11377,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"6302 BROADWAY
WOODSDE, NY 11377
(40.74993489700006, -73.89908170899997)"
NYC,SHIV DELI & GROCERY INC,3522 CLARENDON ROAD,BROOKLYN,NY,11203,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"3522 CLARENDON ROAD
BROOKLYN, NY 11203
(40.643553137000026, -73.94316918799996)"
NYC,166ST DELI GROCERY CORP,182 B EAST 166TH STREET,BRONX,NY,10456,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"182 B EAST 166TH STREET
BRONX, NY 10456
(40.83155575100005, -73.91878890299995)"
NYC,JAYUYA DELI GROCERY,2958 WHITE PLAINS  ROAD,BRONX,NY,10467,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2958 WHITE PLAINS ROAD
BRONX, NY 10467
(40.86957926400004, -73.86715424399995)"
NYC,HILLSIDE #1 DELI CORP,16401 HILLSIDE AVENUE,JAMAICA,NY,11432,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"16401 HILLSIDE AVENUE
JAMAICA, NY 11432
(40.70888713000005, -73.79870827599996)"
NYC,BURNSIDE'S GOURMET DELI & GROCERY,38 WEST BUENSIDE AVENUE,BRONX,NY,10453,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"38 WEST BUENSIDE AVENUE
BRONX, NY 10453
(40.85379962900004, -73.90902371799996)"
NYC,M&E ENERGY CORP,3620 QUEENS BOULEVARD,LONG ISLAND CITY,NY,11101,NEW YORK CITY,NEW YORK CITY,TOBACCO RETAIL,05/09/2016,"3620 QUEENS BOULEVARD
LONG ISLAND CITY, NY 11101
(40.74413123700003, -73.92867241999994)"
NYC,GRA CONVENIENT II INC,7626 5TH  AVENUE,BROOKLYN,NY,11209,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"7626 5TH AVENUE
BROOKLYN, NY 11209
(40.628143616000045, -74.02323202999997)"
NYC,D & J GROCERY CORP.,927 GRAND  STREET,BROOKLYN,NY,11211,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"927 GRAND STREET
BROOKLYN, NY 11211
(40.712847613000065, -73.93710724699997)"
NYC,LISA GROCERY & DELI,261 E 172TH STREET,BRONX,NY,10457,BRONX,NEW YORK CITY,PHARMACY,05/09/2016,"261 E 172TH STREET
BRONX, NY 10457
(40.849331720000066, -73.89809272799994)"
NYC,99 ESQUINA GROCERY AND DELI CORP,99 EAST 198TH STREET,BROOKLYN,NY,10468,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"99 EAST 198TH STREET
BROOKLYN, NY 10468
(40.870635238000034, -73.89173534999998)"
NYC,"ONE'S FRUIT & GROCERY OF, NYC",315 1ST AVENUE,NEW YORK,NY,10003,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"315 1ST AVENUE
NEW YORK, NY 10003
(40.73402069900004, -73.98067606299998)"
NYC,SWEET SIXTEEN PARTY & GIFTS CORP,200 BEACH 116TH STREET,FAR ROCKAWAY,NY,11694,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"200 BEACH 116TH STREET
FAR ROCKAWAY, NY 11694
(40.57976988400003, -73.83704520799995)"
NYC,DISCOUNT DAIRY FARM GROCEY INC,2730 OCEAN AVENUE,BROOKLYN,NY,11229,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"2730 OCEAN AVENUE
BROOKLYN, NY 11229
(40.59473359200007, -73.95057615499996)"
NYC,QUEENS BIJOUX CORP,13854 84TH  DRIVE,BRIARWOOD,NY,11435,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"13854 84TH DRIVE
BRIARWOOD, NY 11435
(40.709133345000055, -73.81816653799996)"
NYC,SAMIRA KENZ,10707 ROCKAWAY  BOULEVARD,QUEENS,NY,11417,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"10707 ROCKAWAY BOULEVARD
QUEENS, NY 11417
(40.67838744300008, -73.83197493999995)"
NYC,NO 1 DELI CORP.,819 FOREST AVENUE,STATEN ISLAND,NY,10310,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"819 FOREST AVENUE
STATEN ISLAND, NY 10310
(40.62896471300007, -74.11657481999998)"
NYC,QUICK PICK GROCERY & 99 PLUS,280 BROAD WAY,STATEN ISLAND,NY,10310,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"280 BROAD WAY
STATEN ISLAND, NY 10310
(40.63439437300008, -74.11718570299996)"
NYC,LOPEZ JER DELI GROCERY INC,1185 BROADWAY,BROOKLYN,NY,11221,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"1185 BROADWAY
BROOKLYN, NY 11221
(40.692526533000034, -73.92733774299995)"
NYC,JOE SOUTH SIDE DELI,11577 SUTPHIN BOULEVARD,NEW YORK,NY,11434,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"11577 SUTPHIN BOULEVARD
NEW YORK, NY 11434
(40.68278733300008, -73.79257523799998)"
NYC,FAMILY EXPRESS DELI GROCERY,628 NOSTRAND  AVENUE,BROOKLYN,NY,11216,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"628 NOSTRAND AVENUE
BROOKLYN, NY 11216
(40.67707388700006, -73.94985701999997)"
NYC,JAMAICA MINI MARKET INC,17103 JAMAICA  AVENUE,JAMAICA,NY,11432,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"17103 JAMAICA AVENUE
JAMAICA, NY 11432
(40.707537442000046, -73.78850635999999)"
NYC,DEE NEWSTAND AND CANDY CORP,75 VARET STREET,BROOKLYN,NY,11206,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"75 VARET STREET
BROOKLYN, NY 11206
(40.703082893000044, -73.94237433499995)"
NYC,SEDGWICK DELI & GROCERY CORP,2701 SEDGWICK  AVENUE,BRONX,NY,10468,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2701 SEDGWICK AVENUE
BRONX, NY 10468
(40.87000584900005, -73.90321585699996)"
NYC,SSAR INC,2321 65TH STREET,BROOKLYN,NY,11204,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2321 65TH STREET
BROOKLYN, NY 11204
(40.61218512800008, -73.97862588899994)"
NYC,SAYEDGE DELI LTD,5800 MOSHOLU  AVENUE,BRONX,NY,10471,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"5800 MOSHOLU AVENUE
BRONX, NY 10471
(40.90509657300004, -73.89717839299993)"
NYC,152ND STREET FOOD CORP,835 EAST 152ND STREET,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"835 EAST 152ND STREET
BRONX, NY 10455
(40.815228096000055, -73.90414478799994)"
NYC,BROOKLYN SMOKE SHOP INC,198 FLATBUSH AVENUE,BROOKLYN,NY,11217,BROOKLYN,NEW YORK CITY,TOBACCO RETAIL,05/09/2016,"198 FLATBUSH AVENUE
BROOKLYN, NY 11217
(40.68164161400006, -73.97573653099994)"
NYC,"SHOHATEE, ALI A",2266 1ST AVENUE,NEW YORK,NY,10035,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2266 1ST AVENUE
NEW YORK, NY 10035
(40.796341787000074, -73.93511418399999)"
NYC,GOLD STREET MARKET INC.,257 GOLD STREET,BROOKLYN,NY,11201,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"257 GOLD STREET
BROOKLYN, NY 11201
(40.696887960000026, -73.98312484899998)"
NYC,GREEN FAMILY MART NYC INC,2110 30TH  AVENUE,ASTORIA,NY,11102,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2110 30TH AVENUE
ASTORIA, NY 11102
(40.76966505100006, -73.92739252299998)"
NYC,"WAHIB, MOHAMED A.",269 TROY AVENUE,BROOKLYN,NY,11213,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"269 TROY AVENUE
BROOKLYN, NY 11213
(40.66986622600007, -73.93654429399999)"
NYC,HEIGHTS TATOO,1610 ST NICHOLAS  AVENUE,NEW YORK,NY,10040,NEW YORK CITY,NEW YORK CITY,OTHER,05/09/2016,"1610 ST NICHOLAS AVENUE
NEW YORK, NY 10040
(40.85534110400005, -73.92928418499997)"
NYC,RAMSES II DELI CORP.,732  10TH AVENUE,NEW YORK,NY,10019,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"732 10TH AVENUE
NEW YORK, NY 10019
(40.76458099300004, -73.99183488299997)"
NYC,1217 MARINA INC,11520 BEACH CHANNEL DRIVE,ROCKAWAY PK,NY,11694,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"11520 BEACH CHANNEL DRIVE
ROCKAWAY PK, NY 11694
(40.581917383000075, -73.83799725199998)"
NYC,SMILEY NEWS INC.,2271 MCDONALD AVENUE,BROOKLYN,NY,11223,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2271 MCDONALD AVENUE
BROOKLYN, NY 11223
(40.596965589000035, -73.97322480599996)"
NYC,CASANOVA GROCERY CORP,108-19 JAMAICA AVENUE,RICHMOND HILL,NY,11418,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"108-19 JAMAICA AVENUE
RICHMOND HILL, NY 11418
(40.69580634500005, -73.83894133499996)"
NYC,NEW DREAMLAND DELI GROCERY CORP,501 GRANDVIEW AVENUE,RIDGEWOOD,NY,11385,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"501 GRANDVIEW AVENUE
RIDGEWOOD, NY 11385
(40.70971840000004, -73.90762205599998)"
NYC,TANG'S AMBER MINI MARKET INC,868 UTICA AVENUE,BROOKLYN,NY,11203,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"868 UTICA AVENUE
BROOKLYN, NY 11203
(40.65199742900006, -73.93047652599995)"
NYC,NOME AVENUE DELI CORP,452 NOME AVENUE,STATEN ISLAND,NY,10314,STATEN ISLAND,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"452 NOME AVENUE
STATEN ISLAND, NY 10314
(40.59006562900004, -74.16476512099996)"
NYC,BRADFORD FRIENDSHIP DELI GROCERY INC,5 BRADFORD STREET,BROOKLYN,NY,11207,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"5 BRADFORD STREET
BROOKLYN, NY 11207
(40.67972081400006, -73.89394636799994)"
NYC,EASY GRAB & GO CORP,374 VAN DUZER  STREET,STATEN ISLAND,NY,10304,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"374 VAN DUZER STREET
STATEN ISLAND, NY 10304
(40.62910085500005, -74.07962108099997)"
NYC,163 ASHLEY DELI GROCERY INC,3244 THIRD AVENUE,BRONX,NY,10451,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"3244 THIRD AVENUE
BRONX, NY 10451
(40.823924143000056, -73.90874165299994)"
NYC,EXCELL DISCOUNT AND GROCERY CORP,87 PITT STREET,NEW YORK,NY,10002,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"87 PITT STREET
NEW YORK, NY 10002
(40.71852863300006, -73.98240276099995)"
NYC,DOUBLE SEVEN DELI & GROCERY INC,77 VAN BUREN STREET,BROOKLYN,NY,11221,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"77 VAN BUREN STREET
BROOKLYN, NY 11221
(40.69015816900003, -73.94254329599994)"
NYC,MANHATTAN SMOKE SHOP & CANDY CORP,41B MADISON STREET,NEW YORK,NY,10038,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"41B MADISON STREET
NEW YORK, NY 10038
(40.68394385800008, -73.95747856899999)"
NYC,PAL MINI MART CORP,4421 4421 AVENUE,BKLYN,NY,11220,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"4421 4421 AVENUE
BKLYN, NY 11220
(40.64196780300006, -74.00956233999995)"
NYC,GOLDEN LION CHENG LE INC,6831 FRESH MEADOW  LANE,FRESH MEADOWS,NY,11365,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"6831 FRESH MEADOW LANE
FRESH MEADOWS, NY 11365
(40.73328363600007, -73.79451734899999)"
NYC,PIN DELI & GROCERY CORP,9101 80TH STREET,WOODHAVEN,NY,11421,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"9101 80TH STREET
WOODHAVEN, NY 11421
(40.68653918600006, -73.86082656099995)"
NYC,A & B FRUIT MARKET OF NY CORP.,1208 NOSTRAND  AVENUE,BROOKLYN,NY,11225,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1208 NOSTRAND AVENUE
BROOKLYN, NY 11225
(40.657707379000044, -73.95033605499998)"
NYC,EMPIRE TOBACCO SHOP CORP,521 MYRTLE  AVENUE,BROOKLYN,NY,11205,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"521 MYRTLE AVENUE
BROOKLYN, NY 11205
(40.69370838400005, -73.96383410099997)"
NYC,JSK PRODUCE INC,1368 YORK AVENUE,NEW YORK,NY,10021,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1368 YORK AVENUE
NEW YORK, NY 10021
(40.76742139900006, -73.95329417899995)"
NYC,GERARD FOOD MARKET INC,740 GERARD AVENUE,BRONX,NY,10451,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"740 GERARD AVENUE
BRONX, NY 10451
(40.824633953000045, -73.92658247699995)"
NYC,MARLINE PRICE RITE DELI GROCERY INC,9501 SUTPHIN BOULEVARD,JAMAICA,NY,11435,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"9501 SUTPHIN BOULEVARD
JAMAICA, NY 11435
(40.69819802000006, -73.80628307999996)"
NYC,FAMILY DOLLAR STORES OF NEW YORK INC,3382 ATLANTIC  AVENUE,BROOKLYN,NY,11208,NEW YORK CITY,NEW YORK CITY,OTHER,05/09/2016,"3382 ATLANTIC AVENUE
BROOKLYN, NY 11208
(40.681523895000055, -73.87179306799999)"
NYC,STOP 1 MONEY MARKET INC,513 BRIGHTON BEACH  AVENUE,BROOKLYN,NY,11235,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"513 BRIGHTON BEACH AVENUE
BROOKLYN, NY 11235
(40.57754779700008, -73.96189698399996)"
NYC,BURJ KHALEEFA DELI INC,1981 AMSTERDAM AVENUE,NEW YORK,NY,10032,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"1981 AMSTERDAM AVENUE
NEW YORK, NY 10032
(40.833556603000034, -73.94148933599996)"
NYC,BORGATA DELI CORP.,1977 86TH STREET,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"1977 86TH STREET
BROOKLYN, NY 11214
(40.604795644000035, -73.99851572199998)"
NYC,LILY'S DELI FOOD CORP.,374 WILLIS AVENUE,BRONX,NY,10454,BRONX,NEW YORK CITY,DELICATESSEN,05/09/2016,"374 WILLIS AVENUE
BRONX, NY 10454
(40.81217090100006, -73.92063475899994)"
NYC,250 LIVONIA DELI AND GROCERY INC,250 LIVONIA AVENUE,BROOKLYN,NY,11212,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"250 LIVONIA AVENUE
BROOKLYN, NY 11212
(40.662603786000034, -73.90848640099995)"
NYC,G DELI GROCERY CORP,676 CASTLE HILL AVENUE,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"676 CASTLE HILL AVENUE
BRONX, NY 10473
(40.82084829900003, -73.84841595799998)"
NYC,THE CANTEEN ON 13 CORP,3808 13TH  AVENUE,BROOKLYN,NY,11218,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"3808 13TH AVENUE
BROOKLYN, NY 11218
(40.641042578000054, -73.98590115099995)"
NYC,LINCOLN DELI GROCERY EXPRESS CORP,181 LINCOLN AVENUE,BRONX,NY,10454,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"181 LINCOLN AVENUE
BRONX, NY 10454
(40.80975941100007, -73.92809650599997)"
NYC,R & H BROTHERS INC,1702 LINDEN STREET,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"1702 LINDEN STREET
RIDGEWOOD, NY 11385
(40.70263870400004, -73.91020905999994)"
NYC,MARILYN'S DELI GROCERY CORP,1027 WALTON  AVENUE,BRONX,NY,10452,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1027 WALTON AVENUE
BRONX, NY 10452
(40.83106653300007, -73.92189936299997)"
NYC,JD MINIMARKET INC.,7423 18TH  AVENUE,BROOKLYN,NY,11204,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"7423 18TH AVENUE
BROOKLYN, NY 11204
(40.613498685000025, -73.99581867699999)"
NYC,N  AND A FOOD CORP,222 EAST 198TH STREET,BRONX,NY,10458,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"222 EAST 198TH STREET
BRONX, NY 10458
(40.869646362000026, -73.89018031699999)"
NYC,FRSH POND EXPRESS DELI INC,6620 FRSH POND  ROAD,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"6620 FRSH POND ROAD
RIDGEWOOD, NY 11385
(40.70851182800004, -73.89811781299994)"
NYC,HI LIFE TOBACCO INC.,16808 UNION TURNPIKE,FRESH MEADOWS,NY,11366,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"16808 UNION TURNPIKE
FRESH MEADOWS, NY 11366
(40.72293263300003, -73.79999131099999)"
NYC,WALTON DELI AND GROCERY,975 WALTON AVENUE,BRONX,NY,10452,BRONX,NEW YORK CITY,DELICATESSEN,05/09/2016,"975 WALTON AVENUE
BRONX, NY 10452
(40.82985670900007, -73.92259984899994)"
NYC,"SHOPWELL, INC",10 EAST UNION SQUARE,NEW YORK,NY,10003,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"10 EAST UNION SQUARE
NEW YORK, NY 10003
(40.73104979400006, -73.98887060499999)"
NYC,2013 ABIGAIL DELI GROCERY CORP,787 E 185 STREET,BRONX,NY,10460,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"787 E 185 STREET
BRONX, NY 10460
(40.85231771000008, -73.88234231399997)"
NYC,EMPIRE STATE DELI GROCERY INC,1665 MADISON AVENUE,NEW YORK,NY,10029,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1665 MADISON AVENUE
NEW YORK, NY 10029
(40.79669144700006, -73.94722407999996)"
NYC,TARAN GROCERIES INC,14310 45TH AVENUE,FLUSHING,NY,11355,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"14310 45TH AVENUE
FLUSHING, NY 11355
(40.75401659600004, -73.81807478499996)"
NYC,J&F DELI GROCERY INC,145-89 GUY R BREWER BOULEVARD,JAMAICA,NY,11434,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"145-89 GUY R BREWER BOULEVARD
JAMAICA, NY 11434
(40.66377631300003, -73.76846500699997)"
NYC,YAHYA N.G. RASHED & HEITHAM H. YEHYA,284 E KINGSBRIDGE  ROAD,BRONX,NY,10458,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"284 E KINGSBRIDGE ROAD
BRONX, NY 10458
(40.863527813000076, -73.89430651799995)"
NYC,DMV DELI EXPRESS INC,1332 COMMERCE  PLACE,BRONX,NY,10461,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1332 COMMERCE PLACE
BRONX, NY 10461
(40.83698254300003, -73.84062385199996)"
NYC,F & B ORGANIC DELI GROCERY INC,728 DRIGGS AVENUE,BROOKLYN,NY,11211,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"728 DRIGGS AVENUE
BROOKLYN, NY 11211
(40.71291754600003, -73.96045871499996)"
NYC,GENUINE DELI AND GROCERY CORP,700 FULTON  STREET,BROOKLYN,NY,11217,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"700 FULTON STREET
BROOKLYN, NY 11217
(40.68601469600003, -73.97386118699995)"
NYC,PANCHO DELI GROCERY STORE INC,111-04 142ND STREET,JAMAICA,NY,11435,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"111-04 142ND STREET
JAMAICA, NY 11435
(40.68564522200006, -73.80248110899998)"
NYC,SAIED DELI CORP,105 EAST 125 STREET,NEW YORK,NY,10035,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"105 EAST 125 STREET
NEW YORK, NY 10035
(40.80493359700006, -73.93866437599996)"
NYC,DAD DELI & CAFE INC,5924 KISSENA BOULEVARD,FLUSHING,NY,11355,NEW YORK CITY,NEW YORK CITY,RESTAURANT/ATUPA,05/09/2016,"5924 KISSENA BOULEVARD
FLUSHING, NY 11355
(40.74014324800004, -73.81515628799997)"
NYC,BAY STOP DELI 2970 CORP,2970 OCEAN AVENUE,BROOKLYN,NY,11235,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2970 OCEAN AVENUE
BROOKLYN, NY 11235
(40.58888494300004, -73.94947589099996)"
NYC,PAPA FIRO GROCERY CORP,109 3RD  AVENUE,BROOKLYN,NY,11217,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"109 3RD AVENUE
BROOKLYN, NY 11217
(40.682872417000056, -73.98232412799996)"
NYC,181 ST CANDY & DELI CORP,110 EAST 181 STREET,BRONX,NY,10453,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"110 EAST 181 STREET
BRONX, NY 10453
(40.85481311700005, -73.90336504599998)"
NYC,F & L MINI MARKET CORP,1690 LEXINGTON AVENUE,NEW YORK,NY,10029,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1690 LEXINGTON AVENUE
NEW YORK, NY 10029
(40.79239995200004, -73.94620656899997)"
NYC,LASLAGUNAS DELI CORP,444 MELROSE STREET,BROOKLYN,NY,11237,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"444 MELROSE STREET
BROOKLYN, NY 11237
(40.705547876000026, -73.92619785099998)"
NYC,BROADWAY CORNE DELI & GROCERY CORP,251 BROADWAY,STATEN ISLAND,NY,10310,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"251 BROADWAY
STATEN ISLAND, NY 10310
(40.635256868000056, -74.11732556699997)"
NYC,I LIKE IT LLC,240 PAGE AVENUE,STATEN ISLAND,NY,10307,STATEN ISLAND,NEW YORK CITY,STAND,05/09/2016,"240 PAGE AVENUE
STATEN ISLAND, NY 10307
(40.518230118000076, -74.23460074799993)"
NYC,CHAND SERVICE INC,3083 WEBSTER AVENUE,BRONX,NY,10467,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"3083 WEBSTER AVENUE
BRONX, NY 10467
(40.870559842000034, -73.87788492599998)"
NYC,SW JOANN'S DELI INC.,1373 BAY STREET,STATEN ISLAND,NY,10305,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"1373 BAY STREET
STATEN ISLAND, NY 10305
(40.61020982500003, -74.06322182399998)"
NYC,1278 DELI & GROCERY CORP,1278 MORRIS AVENUE,BRONX,NY,10472,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"1278 MORRIS AVENUE
BRONX, NY 10472
(40.835209951000024, -73.91291226399994)"
